time,node,count,total_count,lambda,service_mode,seed
262,c,57,133,2,fixed,20260905
262,d,1,133,2,fixed,20260905
264,o,12,134,2,fixed,20260905
264,a,4,134,2,fixed,20260905
264,b,57,134,2,fixed,20260905
264,c,60,134,2,fixed,20260905
264,d,1,134,2,fixed,20260905
266,o,14,136,2,fixed,20260905
266,a,2,136,2,fixed,20260905
266,b,57,136,2,fixed,20260905
266,c,61,136,2,fixed,20260905
266,d,2,136,2,fixed,20260905
268,o,12,135,2,fixed,20260905
268,a,4,135,2,fixed,20260905
268,b,58,135,2,fixed,20260905
268,c,61,135,2,fixed,20260905
268,d,0,135,2,fixed,20260905
270,o,13,135,2,fixed,20260905
270,a,3,135,2,fixed,20260905
270,b,57,135,2,fixed,20260905
270,c,62,135,2,fixed,20260905
270,d,0,135,2,fixed,20260905
272,o,14,135,2,fixed,20260905
272,a,0,135,2,fixed,20260905
272,b,59,135,2,fixed,20260905
272,c,62,135,2,fixed,20260905
272,d,0,135,2,fixed,20260905
274,o,11,136,2,fixed,20260905
274,a,5,136,2,fixed,20260905
274,b,60,136,2,fixed,20260905
274,c,60,136,2,fixed,20260905
274,d,0,136,2,fixed,20260905
276,o,7,137,2,fixed,20260905
276,a,8,137,2,fixed,20260905
276,b,59,137,2,fixed,20260905
276,c,60,137,2,fixed,20260905
276,d,3,137,2,fixed,20260905
278,o,4,137,2,fixed,20260905
278,a,9,137,2,fixed,20260905
278,b,58,137,2,fixed,20260905
278,c,60,137,2,fixed,20260905
278,d,6,137,2,fixed,20260905
280,o,2,136,2,fixed,20260905
280,a,9,136,2,fixed,20260905
280,b,58,136,2,fixed,20260905
280,c,62,136,2,fixed,20260905
280,d,5,136,2,fixed,20260905
282,o,1,138,2,fixed,20260905
282,a,10,138,2,fixed,20260905
282,b,54,138,2,fixed,20260905
282,c,66,138,2,fixed,20260905
282,d,7,138,2,fixed,20260905
284,o,0,136,2,fixed,20260905
284,a,7,136,2,fixed,20260905
284,b,57,136,2,fixed,20260905
284,c,65,136,2,fixed,20260905
284,d,7,136,2,fixed,20260905
286,o,0,136,2,fixed,20260905
286,a,6,136,2,fixed,20260905
286,b,59,136,2,fixed,20260905
286,c,65,136,2,fixed,20260905
286,d,6,136,2,fixed,20260905
288,o,1,134,2,fixed,20260905
288,a,8,134,2,fixed,20260905
288,b,60,134,2,fixed,20260905
288,c,65,134,2,fixed,20260905
288,d,0,134,2,fixed,20260905
290,o,0,137,2,fixed,20260905
290,a,9,137,2,fixed,20260905
290,b,61,137,2,fixed,20260905
290,c,65,137,2,fixed,20260905
290,d,2,137,2,fixed,20260905
292,o,1,134,2,fixed,20260905
292,a,5,134,2,fixed,20260905
292,b,59,134,2,fixed,20260905
292,c,67,134,2,fixed,20260905
292,d,2,134,2,fixed,20260905
294,o,5,139,2,fixed,20260905
294,a,6,139,2,fixed,20260905
294,b,58,139,2,fixed,20260905
294,c,67,139,2,fixed,20260905
294,d,3,139,2,fixed,20260905
296,o,6,141,2,fixed,20260905
296,a,3,141,2,fixed,20260905
296,b,57,141,2,fixed,20260905
296,c,71,141,2,fixed,20260905
296,d,4,141,2,fixed,20260905
298,o,2,142,2,fixed,20260905
298,a,6,142,2,fixed,20260905
298,b,60,142,2,fixed,20260905
298,c,72,142,2,fixed,20260905
298,d,2,142,2,fixed,20260905
300,o,6,144,2,fixed,20260905
300,a,7,144,2,fixed,20260905
300,b,57,144,2,fixed,20260905
300,c,71,144,2,fixed,20260905
300,d,3,144,2,fixed,20260905
302,o,7,146,2,fixed,20260905
302,a,5,146,2,fixed,20260905
302,b,58,146,2,fixed,20260905
302,c,73,146,2,fixed,20260905
302,d,3,146,2,fixed,20260905
304,o,8,151,2,fixed,20260905
304,a,6,151,2,fixed,20260905
304,b,58,151,2,fixed,20260905
304,c,74,151,2,fixed,20260905
304,d,5,151,2,fixed,20260905
306,o,4,149,2,fixed,20260905
306,a,6,149,2,fixed,20260905
306,b,59,149,2,fixed,20260905
306,c,77,149,2,fixed,20260905
306,d,3,149,2,fixed,20260905
